County,Office,Candidate,Party,District,Votes
,County Commissioner,Jason  Bowman,Democratic,Miami,3661
,County Commissioner,Jason Burns,Democratic,Carroll,3128
,County Commissioner,Jeffery W (Jeff) Fisher,Democratic,Vigo,19042
,County Commissioner,Jeremy Shumate,Democratic,Floyd,16239
,County Commissioner,Jim Crone,Democratic,Jefferson,4644
,County Commissioner,Jim Hensley Jr.,Democratic,Union,1173
,County Commissioner,Joe Walsh,Democratic,Hendricks,30268
,County Commissioner,John (Jack) Kieninger ,Democratic,Fulton,2366
,County Commissioner,John D Schafstall,Democratic,Jackson,6206
,County Commissioner,Julie Thomas,Democratic,Monroe,42563
,County Commissioner,Kate Thornburg,Democratic,Randolph,2630
,County Commissioner,Kenny Reese,Democratic,Cass,5639
,County Commissioner,Kevin L Heller,Democratic,DeKalb,5846
,County Commissioner,Lane R Armstrong,Democratic,Switzerland,1447
,County Commissioner,Larry J Taylor,Democratic,Crawford,1365
,County Commissioner,Laura Shurr Blaney,Democratic,Porter,42710
,County Commissioner,LeRoy Williams,Democratic,Scott,3921
,County Commissioner,Lindsay Brown,Democratic,"1, 2, 3",18651
,County Commissioner,Michael (Mike) Swafford,Democratic,Owen,3335
,County Commissioner,MICHAEL C REPAY,Democratic,County Commissioner 3,42284
,County Commissioner,Michael D Dant (Mike),Democratic,Martin,1459
,County Commissioner,Natalie Hills,Democratic,Grant,8334
,County Commissioner,Oliver Davis ,Democratic,2,16905
,County Commissioner,Ollie H Dixon,Democratic,"1, 2, 3",15406
,County Commissioner,Pat Goodwin,Democratic,Vigo,20200
,County Commissioner,Paul  Wiwi,Democratic,Union,1854
,County Commissioner,Penny Githens,Democratic,Monroe,41882
,County Commissioner,Randy Kleaving,Democratic,Perry,5758
,County Commissioner,Ray E McCammon,Democratic,Sullivan,5507
,County Commissioner,Richard D Emry,Democratic,Howard,14136
,County Commissioner,Richard L Gettelfinger,Democratic,Harrison,6014
,County Commissioner,Rick Nobbe,Democratic,Decatur,4070
,County Commissioner,Robert C. (Bob) Tobias,Democratic,Scott,3921
,County Commissioner,Ronald E Fleetwood,Democratic,Brown,3218
,County Commissioner,Ryan  Crabtree,Democratic,Blackford,1331
,County Commissioner,Sharon Dunlevy,Democratic,Hendricks,29344
,County Commissioner,STEPHEN D. THOMPSON,Democratic,Vermillion,3033
,County Commissioner,Steve C Lindsey,Democratic,Greene,4342
,County Commissioner,Susan Corwin-Cripe,Democratic,Elkhart,23539
,County Commissioner,Sutton M Doty,Democratic,Parke,1816
,County Commissioner,Terry Jackson,Democratic,Greene,3577
,County Commissioner,Thomas  Lenfert,Democratic,Floyd,16978
,County Commissioner,THOMAS ( AL ) LOGSDON,Democratic,Spencer,4579
,County Commissioner,TIMOTHY J. WILSON,Democratic,Vermillion,3137
,County Commissioner,Todd R DonatI,Democratic,Delaware,17768
,County Commissioner,Tracey Callahan Burnett,Democratic,Brown,3054
,County Commissioner,Travis J Mcconnell,Democratic,Kosciusko,8955
,County Commissioner,Vicki J Byrd,Democratic,Cass,5270
,County Commissioner,Vidya Kora,Democratic,LaPorte,23181
,County Commissioner,Vince Luecke,Democratic,Spencer,4200
,County Commissioner,Warren E Fleetwood,Democratic,Gibson,8696
,County Commissioner,Randy G Paul,Green,Monroe,268
,County Commissioner,Brian Keith Gilham,Independent,Sullivan,2710
,County Commissioner,Bruce Counterman,Independent,Jay,1742
,County Commissioner,Jacob Arthur,Independent,Montgomery,6068
,County Commissioner,Jeff D McKnight,Independent,Lawrence,5312
,County Commissioner,Scott Confer,Independent,Blackford,1121
,County Commissioner,Gregory Hertzsch,Libertarian,Clark,2524
,County Commissioner,Jeremy Smith,Libertarian,LaPorte,9795
,County Commissioner,Rhonda Greene,Libertarian,Washington,2194
,County Commissioner,Aaron (Moose) Summers,Republican,Martin,3536
,County Commissioner,Alan R. Hunt,Republican,Miami,11625
,County Commissioner,ANDREW K. HALL,Republican,Fountain,6769
,County Commissioner,Anita Hess,Republican,Noble,15319
,County Commissioner,Arthur Little,Republican,Dearborn,7834
,County Commissioner,Barry J Eppley,Republican,Wabash,12013
,County Commissioner,Bill Collins,Republican,Posey,10907
,County Commissioner,Bill Spalding,Republican,Hancock,33469
,County Commissioner,Blake Gerber,Republican,Wells,11646
,County Commissioner,BOB GILLASPY,Republican,Jackson,12547
,County Commissioner,Bobbi Plummer,Republican,Henry,14106
,County Commissioner,Brad Jackson,Republican,Kosciusko,29471
,County Commissioner,Bradley D Rogers,Republican,Elkhart,49754
,County Commissioner,BRENDA HARDY,Republican,Fountain,6669
,County Commissioner,Brenda Meadows Weaver,Republican,Miami,10219
,County Commissioner,Brian K Haupert,Republican,Wabash,11959
,County Commissioner,Brian P. Baird,Republican,Johnson,58864
,County Commissioner,Brian R McGalliard,Republican,Jay,6097
,County Commissioner,Britton Luther,Republican,Vermillion,4138
,County Commissioner,Bryan Andrew Collier,Republican,Morgan,29521
,County Commissioner,Bryan Berry,Republican,Benton,3311
,County Commissioner,Bryan K Allender,Republican,Clay,10255
,County Commissioner,C. Michael Taylor,Republican,Daviess,10397
,County Commissioner,Carl A. Schmitz,Republican,Posey,10963
,County Commissioner,Cary P Groninger,Republican,Kosciusko,25718
,County Commissioner,Chad A Blessinger,Republican,Dubois,18049
,County Commissioner,Chad Banks,Republican,Whitley,14604
,County Commissioner,Charles (Chuck) Emsweller,Republican,Decatur,7955
,County Commissioner,CHARLES R CHESAK,Republican,Starke,8062
,County Commissioner,Charles R Mellon Jr.,Republican,Pulaski,4820
,County Commissioner,Charlie P Crawford,Republican,Harrison,13253
,County Commissioner,Cheryl A W Musgrave,Republican,Vanderburgh,54770
,County Commissioner,Chris Schmaltz,Republican,Ripley,11855
,County Commissioner,Chris Switzer,Republican,Vigo,22406
,County Commissioner,Chuck Braden,Republican,Brown,5567
,County Commissioner,CLAY ANDREWS,Republican,Warren,3766
,County Commissioner,Cody Roush,Republican,Martin,4302
,County Commissioner,Connie J Brown,Republican,Ohio,7895
,County Commissioner,Connie Sellers,Republican,Clark,33252
,County Commissioner,CRAIG GREENWOOD,Republican,Warren,3865
,County Commissioner,Dale  Munson,Republican,Fayette,8281
,County Commissioner,Dale DuBois,Republican,Owen,6058
,County Commissioner,Dan A Saylor,Republican,Warrick,25721
,County Commissioner,Dan Guard,Republican,Montgomery,14483
,County Commissioner,DAN R COLLOM,Republican,Parke,5037
,County Commissioner,Darlene Likens,Republican,"1, 2, 3",35645
,County Commissioner,David Bramer,Republican,Jefferson,9531
,County Commissioner,David Byers,Republican,Tippecanoe,39084
,County Commissioner,DAVID E BERRY,Republican,Putnam,13742
,County Commissioner,Deb Fleming,Republican,3,19012
,County Commissioner,Dennis Dawes,Republican,Hendricks,55010
,County Commissioner,Derek Dieter,Republican,2,17869
,County Commissioner,Don Adams,Republican,Morgan,29448
,County Commissioner,Don Parker,Republican,Shelby,15973
,County Commissioner,Donnie Lawson,Republican,Boone,28922
,County Commissioner,DREW MARKEL,Republican,Jackson,15859
,County Commissioner,Dustin Gabhart,Republican,Lawrence,13414
,County Commissioner,Edward ( Michael,Republican,Greene,10765
,County Commissioner,Fred Martin,Republican,Porter,42445
,County Commissioner,Gary D Leatherman,Republican,Noble,15627
,County Commissioner,Gary Girton,Republican,Randolph,8181
,County Commissioner,Gerald  Bledsoe,Republican,Gibson,7289
,County Commissioner,Glen Butch Cain Jr.,Republican,Newton,5549
,County Commissioner,Grant S Dean,Republican,Switzerland,3242
,County Commissioner,Gregg Jarboe,Republican,Perry,5595
,County Commissioner,Heather Gries,Republican,Spencer,5997
,County Commissioner,Jack A Coffman,Republican,Clark,32764
,County Commissioner,Jackie W Dodd,Republican,Howard,25059
,County Commissioner,James (Jim) Walstra,Republican,Jasper,12491
,County Commissioner,James (Kendall) Hankins,Republican,Ripley,11690
,County Commissioner,JAMES KING,Republican,Delaware,27368
,County Commissioner,Jeff Nelson,Republican,Pike,5163
,County Commissioner,Jeff Plasterer,Republican,Wayne,20942
,County Commissioner,Jeffrey  Wolfe,Republican,Boone,28762
,County Commissioner,Jerry D Monjar,Republican,Switzerland,2582
,County Commissioner,Jerry Lee Pittman,Republican,Brown,5483
,County Commissioner,Jerry Tippy,Republican,County Commissioner 2,55503
,County Commissioner,Jim Biggs,Republican,Porter,48708
,County Commissioner,Jim Thatcher,Republican,Dearborn,7822
,County Commissioner,Joe Haney,Republican,LaPorte,24465
,County Commissioner,John A Lancaster,Republican,Blackford,3827
,County Commissioner,John D Jessup,Republican,Hancock,33453
,County Commissioner,John E. Frey,Republican,Montgomery,9980
,County Commissioner,JOHN J SCHELLENBERGER,Republican,Floyd,24347
,County Commissioner,John M Richwine,Republican,"1, 2, 3",32219
,County Commissioner,John M. Waterman Sr.,Republican,Sullivan,5617
,County Commissioner,John Oxley,Republican,Blackford,2970
,County Commissioner,Joshua Uitts,Republican,Clinton,10584
,County Commissioner,KEN SHELTON,Republican,Steuben,13044
,County Commissioner,Kendell Culp,Republican,Jasper,12410
,County Commissioner,Kenneth  Montgomery,Republican,Gibson,13132
,County Commissioner,KEVIN MYERS,Republican,LaGrange,8692
,County Commissioner,Kevin Overmyer,Republican,Marshall,15687
,County Commissioner,Kevin Page,Republican,White,8108
,County Commissioner,KEVIN R NIGH,Republican,Shelby,15852
,County Commissioner,Kevin S Woodward,Republican,Wells,11605
,County Commissioner,Kyle D Conrad,Republican,Newton,5211
,County Commissioner,LARRY N INGLE,Republican,Crawford,3409
,County Commissioner,LARRY N MILLER,Republican,LaGrange,8610
,County Commissioner,Larry S. Kleinhenz,Republican,Bartholomew,27515
,County Commissioner,Mark A Koors,Republican,Decatur,10280
,County Commissioner,Mark A Timmons,Republican,Clinton,10676
,County Commissioner,Mark Bacon,Republican,Rush,6282
,County Commissioner,Mark E. Bardsley,Republican,Grant,20748
,County Commissioner,Mark Edward Gourley,Republican,Starke,6076
,County Commissioner,Mark Heirbrandt,Republican,Hamilton,112881
,County Commissioner,Mark J Nobbe,Republican,Fayette,8218
,County Commissioner,Marty A Heffner,Republican,Clay,10305
,County Commissioner,Mary A Butters,Republican,Wayne,20889
,County Commissioner,Maurice E Loehmer,Republican,Pulaski,4091
,County Commissioner,Michael (Mike) Watson,Republican,DeKalb,15819
,County Commissioner,Michael Stajduhar,Republican,Cass,9605
,County Commissioner,Mike Burroughs,Republican,Marshall,15781
,County Commissioner,Mike Freeland,Republican,Benton,3488
,County Commissioner,Mike Jones,Republican,Scott,5983
,County Commissioner,Mike Morris,Republican,Vigo,23385
,County Commissioner,Mike Wickersham,Republican,Randolph,8218
,County Commissioner,MORTON M DALE,Republican,Crawford,2773
,County Commissioner,Nancy Cline,Republican,Tipton,6519
,County Commissioner,Nathan L Abrams,Republican,Greene,10029
,County Commissioner,Nelson  Stepro,Republican,Harrison,13868
,County Commissioner,Nelson Peters,Republican,Allen,119924
,County Commissioner,Nick Hostetter,Republican,Dubois,17713
,County Commissioner,PHILLIP D (PHIL) MARSHALL,Republican,Washington,9973
,County Commissioner,Phyllis A Palmer,Republican,Hendricks,55342
,County Commissioner,Randy Julian,Republican,Scott,5981
,County Commissioner,Rex L Journay,Republican,Jay,7025
,County Commissioner,Rich Mrozinski,Republican,LaPorte,28340
,County Commissioner,Richard A Ranstead,Republican,Fulton,6514
,County Commissioner,Richard W Dixon,Republican,Orange,7201
,County Commissioner,RICK ROBERTS,Republican,Washington,8762
,County Commissioner,RJ Dunavan,Republican,Vermillion,4129
,County Commissioner,Robert "Bob" Curry,Republican,Owen,6300
,County Commissioner,Robert B Bray,Republican,Howard,30819
,County Commissioner,Robert H Johnson Jr.,Republican,Warrick,25577
,County Commissioner,Robert Little,Republican,Jefferson,9494
,County Commissioner,Robert R (Bob) Willhite,Republican,Jennings,7651
,County Commissioner,Ron Arnold,Republican,Daviess,10215
,County Commissioner,Ron Jarman,Republican,Rush,6527
,County Commissioner,"Ron Mowery, Sr.",Republican,Grant,17660
,County Commissioner,Ronald (Ron) H. West,Republican,Johnson,59215
,County Commissioner,Ruth Baker,Republican,Cass,9216
,County Commissioner,Ryan Coleman,Republican,Pike,5139
,County Commissioner,Shane Boswell,Republican,Jennings,9936
,County Commissioner,SHERRY RIGGIN,Republican,Delaware,28950
,County Commissioner,Stan Stoppenhagen,Republican,Adams,11724
,County Commissioner,Steve Burton,Republican,White,9155
,County Commissioner,Steve Dellinger,Republican,Henry,18047
,County Commissioner,Steve Hopper,Republican,Orange,7086
,County Commissioner,Steve L Kuhn,Republican,Adams,11312
,County Commissioner,STEVE PEARSON,Republican,Carroll,6221
,County Commissioner,Steven C. Dillinger,Republican,Hamilton,136293
,County Commissioner,Steven E Metzger,Republican,Fulton,6672
,County Commissioner,Suzie Weirick,Republican,Elkhart,49735
,County Commissioner,Terry Stoffel,Republican,Huntington,15268
,County Commissioner,Theresa J Green,Republican,Whitley,14388
,County Commissioner,Thomas ( Tom ) Brown,Republican,Spencer,6309
,County Commissioner,Thomas H Baxter,Republican,Ohio,2507
,County Commissioner,Thomas J Brink,Republican,Knox,12475
,County Commissioner,Tim Kamer,Republican,Floyd,23147
,County Commissioner,Tim Williams,Republican,Union,2256
,County Commissioner,Todd  Sanderson,Republican,DeKalb,13055
,County Commissioner,TOM HELMER,Republican,Putnam,13895
,County Commissioner,Tom Murtaugh,Republican,Tippecanoe,50185
,County Commissioner,Tom Wall ,Republican,Huntington,14378
,County Commissioner,Tom Wilson,Republican,Franklin,10054
,County Commissioner,Tony London,Republican,Bartholomew,27679
,County Commissioner,Tracey B Powell,Republican,Tipton,6839
,County Commissioner,Trent A Hinkle,Republican,Knox,12308
,County Commissioner,Wallace (Wally) Branham,Republican,Lawrence,17012
,County Commissioner,WIL HOWARD,Republican,Steuben,13000
,County Commissioner,WILLIAM R (BILL) BROWN,Republican,Carroll,6293
,County Commissioner,Zac Rascher,Republican,Vanderburgh,36522
,County Council Member,Aaron D Loudermilk,Democratic,Vigo,19742
,County Council Member,Aaron Murray,Democratic,"D1, D2, D3, D4",6433
,County Council Member,ALICE SWAIM,Democratic,Parke,1632
,County Council Member,Amanda Stevenson-Holmes,Democratic,Johnson,21470
,County Council Member,Amy Back,Democratic,Vanderburgh,25512
,County Council Member,Andrew J Dreibelbis,Democratic,Marshall,3966
,County Council Member,Anita R Morgan,Democratic,Owen,2044
,County Council Member,Anthony J McClain,Democratic,Parke,971
,County Council Member,ARI HURWITZ,Democratic,Delaware,14042
,County Council Member,Atalie R. Schroering,Democratic,Dubois,7316
,County Council Member,Barbara W Holcomb,Democratic,Marshall,5439
,County Council Member,BENNY WHITLOCK,Democratic,Putnam,4060
,County Council Member,Blake Voges,Democratic,Spencer,3681
,County Council Member,Bob Compton,Democratic,Spencer,3586
,County Council Member,Brad Johnson,Democratic,Clay,3790
,County Council Member,Brad Smith,Democratic,Jackson,4347
,County Council Member,Brad Striegel,Democratic,Floyd,17112
,County Council Member,Brandon R. Deig,Democratic,Posey,6266
,County Council Member,Brandy Brewer,Democratic,Clark,16040
,County Council Member,Brittani M Riggs (Flowers),Democratic,"D1, D2, D3, D4",6157
,County Council Member,Calle  Janson,Democratic,Floyd,12225
,County Council Member,Charles A.  Wagner,Democratic,Miami,3553
,County Council Member,Charles Estok,Democratic,Starke,3477
,County Council Member,Chase Meyncke  ,Democratic,Tipton,2010
,County Council Member,Cheryl Munson,Democratic,Monroe,31918
,County Council Member,Cheryl Teague-Mcclendon,Democratic,Hendricks,22646
,County Council Member,Chris Axton,Democratic,Perry,3030
,County Council Member,Christina Chappelow Persson,Democratic,Franklin,2822
,County Council Member,Consandra (Sandy) Tooley,Democratic,Randolph,1797
,County Council Member,Cordelle Feuston,Democratic,Ripley,2435
,County Council Member,Curt Vanderbur,Democratic,Jefferson,3056
,County Council Member,Dan L. Whitten,Democratic,Porter,37452
,County Council Member,Diana J Conrad,Democratic,Crawford,1597
,County Council Member,Donald W (Don) Morris,Democratic,Vigo,19678
,County Council Member,DOUGLAS HOWARD MCLAIN,Democratic,Crawford,1413
,County Council Member,Ed Bassemier,Democratic,Vanderburgh,26631
,County Council Member,Eldon (Butch) Jeffries,Democratic,Jasper,3485
,County Council Member,Emily Sawyer,Democratic,Cass,3985
,County Council Member,Erin Fogg,Democratic,Allen,43133
,County Council Member,Frank Coffin,Democratic,Owen,2007
,County Council Member,FRANK DURBIN JR.,Democratic,Spencer,3089
,County Council Member,Gardiner P. Bink III,Democratic,Hamilton,57598
,County Council Member,Geoff McKim,Democratic,Monroe,28797
,County Council Member,Graylin S Porter,Democratic,Harrison,4484
,County Council Member,Holly J Dunn,Democratic,Fayette,3265
,County Council Member,Iva Gasaway,Democratic,Scott,3350
,County Council Member,Jack Ray Mize,Democratic,Sullivan,2203
,County Council Member,Jaime Hunt,Democratic,Clark,14738
,County Council Member,James R Rowings,Democratic,Hendricks,18823
,County Council Member,Janet Rummel,Democratic,Owen,1714
,County Council Member,Jason T Scudder,Democratic,Switzerland,938
,County Council Member,Jeff Santana,Democratic,LaPorte,17490
,County Council Member,JERRY BREWER,Democratic,Crawford,1465
,County Council Member,JERRY MULLIS JR,Democratic,Parke,1462
,County Council Member,Jim Woody,Democratic,Martin,1435
,County Council Member,Joan Ashley,Democratic,Randolph,1847
,County Council Member,Joe Cline,Democratic,Jefferson,4736
,County Council Member,John  Gibson,Democratic,Fayette,1858
,County Council Member,John M Resner,Democratic,Harrison,3719
,County Council Member,JOHN MICHAEL F. MAJOR,Democratic,Vermillion,2529
,County Council Member,Joshua Donald Gibson,Democratic,Jay,2156
,County Council Member,Judith L Aker,Democratic,Jay,2446
,County Council Member,Karen Mealy,Democratic,Blackford,1712
,County Council Member,Karl R Swihart,Democratic,Starke,2377
,County Council Member,Kathleen (Kathy) Schwenk,Democratic,Marshall,4045
,County Council Member,Kenneth L Birkemeier,Democratic,Brown,2608
,County Council Member,Kevin G Fleming,Democratic,Brown,2045
,County Council Member,Kevin L Meyer,Democratic,Knox,6400
,County Council Member,KIM H. HAWKINS,Democratic,Vermillion,2832
,County Council Member,Larry D. Rittenhouse,Democratic,Randolph,2126
,County Council Member,Larry E Kinnett,Democratic,Sullivan,2888
,County Council Member,Larry Jordan Jr.,Democratic,Clark,12192
,County Council Member,LARRY W BLEDSOE JR,Democratic,Delaware,14610
,County Council Member,Laura L Stieneker - Taylo,Democratic,Shelby,6096
,County Council Member,Leslie Knable,Democratic,Floyd,16465
,County Council Member,Linda S Smeltzer,Democratic,Tipton,2075
,County Council Member,Lori V Roe,Democratic,Kosciusko,6214
,County Council Member,Margaret E Hass,Democratic,Tippecanoe,27097
,County Council Member,Marie Belzile-Theisz,Democratic,Vigo,17409
,County Council Member,MARK A GUARD,Democratic,Ohio,1121
,County Council Member,Mark Catanzarite,Democratic,G,8407
,County Council Member,Marty Reid,Democratic,Hendricks,20593
,County Council Member,Matt Brosmer,Democratic,Dubois,5967
,County Council Member,Matthew  Bernacchi,Democratic,LaPorte,15688
,County Council Member,Matthew A Boersma,Democratic,Decatur,2792
,County Council Member,Melissa Fisher,Democratic,Allen,56782
,County Council Member,Melissa K Parker,Democratic,Brown,2206
,County Council Member,Michael  Priar,Democratic,Gibson,4713
,County Council Member,Michael D Risner,Democratic,Starke,2826
,County Council Member,Mike Goebel,Democratic,Vanderburgh,33387
,County Council Member,Mike Mollenhauer,Democratic,LaPorte,19495
,County Council Member,Mike Zollman,Democratic,Scott,3342
,County Council Member,Mindy Ellegood-Turner,Democratic,Switzerland,1028
,County Council Member,Monica Casanova,Democratic,Tippecanoe,28499
,County Council Member,Nancy A Woolsey,Democratic,Warrick,12356
,County Council Member,Noemi Ponce,Democratic,Kosciusko,7159
,County Council Member,Olisa Humes ,Democratic,Bartholomew,9245
,County Council Member,Oxana Werbiansky,Democratic,Elkhart,18028
,County Council Member,Patricia (Pat) Cronk,Democratic,Henry,5974
,County Council Member,Paul D Steury,Democratic,Elkhart,21373
,County Council Member,Paul J Malone,Democratic,Perry,4026
,County Council Member,R. Claudette Schroer,Democratic,Bartholomew,9690
,County Council Member,Rachel A Schuler,Democratic,Switzerland,1765
,County Council Member,Rafael Morton,Democratic,D,7880
,County Council Member,RALPH E DOWLING,Democratic,Delaware,13462
,County Council Member,Renee Calabrese,Democratic,Pulaski,2099
,County Council Member,Richard Hill,Democratic,Jefferson,3710
,County Council Member,Richard Summers,Democratic,Martin,1754
,County Council Member,Richelle L Megnin,Democratic,Harrison,4098
,County Council Member,ROBERT (BOB) SPENCE,Democratic,Vermillion,2751
,County Council Member,Robert D. Peacock,Democratic,Scott,3140
,County Council Member,Ron Dull,Democratic,Adams,5625
,County Council Member,Samantha Misch,Democratic,Jasper,3688
,County Council Member,Scott M. Olsen,Democratic,Jackson,3540
,County Council Member,Stephanie Henry,Democratic,Allen,53671
,County Council Member,Stephanie Schoettmer-Goen,Democratic,Jennings,2791
,County Council Member,Stephany Mae Finney,Democratic,Madison,16327
,County Council Member,Steven A Peckinpaugh,Democratic,Henry,5829
,County Council Member,Summer Kiefer Ervin,Democratic,Montgomery,4730
,County Council Member,Susan Schechter,Democratic,Tippecanoe,25752
,County Council Member,Susie Meeks-Wade,Democratic,Elkhart,21902
,County Council Member,Susie Talevski,Democratic,Porter,33049
,County Council Member,Sylvia Graham,Democratic,Porter,37884
,County Council Member,Tami  Springer,Democratic,I,5379
,County Council Member,Tanya M Coon-Kauffman,Democratic,Kosciusko,6746
,County Council Member,Terri R Pasierb,Democratic,Newton,2069
,County Council Member,Thomas X Peck II,Democratic,Fayette,1527
,County Council Member,Tiffany Bosley,Democratic,Bartholomew,9811
,County Council Member,Timothy W Abrams,Democratic,Sullivan,2794
,County Council Member,Todd Cassidy,Democratic,Dubois,5811
,County Council Member,Todd Meadors,Democratic,Pike,2905
,County Council Member,TOM BOOE,Democratic,Fountain,3152
,County Council Member,Tom Newman Jr.,Democratic,Madison,20580
,County Council Member,Tom Swihart,Democratic,LaGrange,2251
,County Council Member,TRENT DECKARD,Democratic,Monroe,32056
,County Council Member,Treva L Bostic,Democratic,Madison,16580
,County Council Member,Vandaline V Baker,Democratic,Jasper,2260
,County Council Member,Victor Schleich,Democratic,Hamilton,59896
,County Council Member,Warren A Sims III,Democratic,Howard,11862
,County Council Member,Yvonne Jaynes Willhite,Democratic,Jackson,3770
,County Council Member,Cathy A Mcfarland,Independent,Pike,1715
,County Council Member,J. Bryon Stephens,Independent,Cass,5592
,County Council Member,Janna Arthur,Independent,Monroe,324
,County Council Member,KAREN LEHIGH,Independent,Parke,1211
,County Council Member,Malcolm Dean Jarrell,Independent,Cass,4207
,County Council Member,Paula Rasnick,Independent,Ripley,3317
,County Council Member,Taylor Raymond Crane,Independent,Allen,23
,County Council Member,Thomas Keister,Libertarian,Clark,5520
,County Council Member, D. M. BAGSHAW,Republican,Floyd,18041
,County Council Member,Aaron Patrick Benton,Republican,Spencer,5041
,County Council Member,Aaron Patrick Wilson,Republican,Posey,6232
,County Council Member,Abbey H Rossiter,Republican,Newton,3791
,County Council Member,Adam Bujalski,Republican,Elkhart,41361
,County Council Member,Adam Greene,Republican,Martin,3471
,County Council Member,Adam J Loehmer,Republican,Pulaski,3373
,County Council Member,Alan D Waynick,Republican,Orange,4584
,County Council Member,Allen W Goodman,Republican,Dearborn,16990
,County Council Member,Amy  Casebeer,Republican,Owen,5551
,County Council Member,Amy  Prosser,Republican,DeKalb,9847
,County Council Member,Andrew Decker,Republican,Ripley,8436
,County Council Member,Andy Bozak,Republican,Porter,41883
,County Council Member,Andy Haskell,Republican,Switzerland,2351
,County Council Member,Andy Wood,Republican,Owen,5284
,County Council Member,Angela Koehler Lindsey,Republican,Vanderburgh,29758
,County Council Member,Anthony Emery,Republican,Madison,25869
,County Council Member,Art Anderson,Republican,White,6058
,County Council Member,ASHLEY AVE JAMES,Republican,Vermillion,3561
,County Council Member,Barry Richard,Republican,Tippecanoe,32095
,County Council Member,Ben Gale,Republican,Madison,26030
,County Council Member,Betsy Mills,Republican,Henry,12607
,County Council Member,Beverly J. Fields (Bev),Republican,Randolph,6888
,County Council Member,Bob Krafft,Republican,DeKalb,9950
,County Council Member,Bonnie  Adams,Republican,Union,1533
,County Council Member,Brad Overton,Republican,Warrick,18838
,County Council Member,BRAD SMITH,Republican,Fountain,138
,County Council Member,Brandon (Brad) Beaver,Republican,Hamilton,89902
,County Council Member,Brent S Cox,Republican,Benton,2273
,County Council Member,Brett H. Kessler,Republican,LaPorte,17673
,County Council Member,Brett Risner,Republican,Jasper,7990
,County Council Member,Brian E Greulich,Republican,Spencer,4912
,County Council Member,Brian Moore,Republican,Jasper,7647
,County Council Member,Brian Patterson,Republican,Franklin,6281
,County Council Member,Bruce A Buchanan,Republican,Benton,2630
,County Council Member,Bruce Ide,Republican,Cass,6146
,County Council Member,Cameron Martin,Republican,Parke,3814
,County Council Member,Carroll Lanning,Republican,Franklin,6830
,County Council Member,Cathy A Mitchel,Republican,Adams,7300
,County Council Member,Cathy C Williams,Republican,Wayne,9646
,County Council Member,Charles R Cleary Jr.,Republican,Ohio,1209
,County Council Member,Charlie Smith,Republican,Rush,4254
,County Council Member,Chris Rosenberger,Republican,Union,1511
,County Council Member,Chuck Poling,Republican,"D1, D2, D3, D4",12857
,County Council Member,Clark A Beard,Republican,Clinton,6463
,County Council Member,Clay Morgan,Republican,Henry,12048
,County Council Member,Connie  Moon,Republican,Floyd,16934
,County Council Member,Connie Gramarossa,Republican,LaPorte,18117
,County Council Member,Craig A Menke,Republican,Crawford,1954
,County Council Member,Craig Kenworthy,Republican,Porter,35853
,County Council Member,DAN CARUSO,Republican,Steuben,8567
,County Council Member,Daniel Reitmeyer,Republican,Knox,7646
,County Council Member,Daryl L Maple,Republican,Howard,15973
,County Council Member,Dave Amerman,Republican,Clay,7060
,County Council Member,Dave Hall,Republican,Jackson,11439
,County Council Member,Dave Yarde,Republican,DeKalb,9116
,County Council Member,DAVID A ETIENNE,Republican,Perry,4801
,County Council Member,David Bruce Lenkensdofer,Republican,Randolph,5951
,County Council Member,David Critser,Republican,Brown,4214
,County Council Member,David Hunt,Republican,Montgomery,9792
,County Council Member,David J Gogel,Republican,Spencer,5107
,County Council Member,David L Culp,Republican,Knox,7685
,County Council Member,David L Wyeth,Republican,Hendricks,35851
,County Council Member,David L.  Sailors Sr,Republican,Miami,7337
,County Council Member,David Ray Abbott,Republican,Clark,21567
,County Council Member,David Woodall,Republican,Jennings,4562
,County Council Member,Dean Davenport,Republican,Cass,7794
,County Council Member,Dennis C Bluhm,Republican,Adams,7938
,County Council Member,Dennis Corn,Republican,Rush,4256
,County Council Member,Dennis R Bishop,Republican,Pike,3568
,County Council Member,Derek  Mcgraw,Republican,Gibson,8885
,County Council Member,DEREK PUTERBAUGH,Republican,Warren,2389
,County Council Member,Diana K Gudeman,Republican,Starke,4927
,County Council Member,Diane Eads Mullins,Republican,Scott,3406
,County Council Member,Don Lamb,Republican,Boone,21522
,County Council Member,Donald E Binkley,Republican,Starke,5581
,County Council Member,Donald J Hussung,Republican,Harrison,10508
,County Council Member,Doug M Uebelhor,Republican,Dubois,10693
,County Council Member,Douglas (Doug) Harp,Republican,Noble,9100
,County Council Member,Douglas L Wacker,Republican,Floyd,16372
,County Council Member,DUDLEY CRUEA,Republican,Fountain,5241
,County Council Member,Earl "Coach" Cunningham,Republican,LaPorte,20755
,County Council Member,Earl T Leinbach,Republican,Starke,4167
,County Council Member,Elise Nieshalla,Republican,Boone,18672
,County Council Member,Eric Gillespie,Republican,Scott,4631
,County Council Member,Ernest J Gauck,Republican,Decatur,7177
,County Council Member,ETHAN L. FOXWORTHY,Republican,Warren,3148
,County Council Member,Eugene L (Gene) Rudicel,Republican,Jennings,7053
,County Council Member,Evelyn Strietelmeier Pence,Republican,Bartholomew,16841
,County Council Member,Gary Booth,Republican,Montgomery,9832
